Harvest_year,Company,Tobacco_Type,Class,R$_Kg
2021_2022,Premium,Virginia,T R 2,7.55
2021_2022,Premium,Virginia,T R 3,4.19
2021_2022,Premium,Virginia,T L 1,8.88
2021_2022,Premium,Virginia,T L 2,6.91
2021_2022,Premium,Virginia,T K,4.96
2021_2022,Premium,Virginia,B O 1,15.44
2021_2022,Premium,Virginia,B O 2,13.17
2021_2022,Premium,Virginia,B O 3,10.16
2021_2022,Premium,Virginia,B R 1,11.62
2021_2022,Premium,Virginia,B R 2,8.49
2021_2022,Premium,Virginia,B R 3,5.39
2021_2022,Premium,Virginia,B L 1,10.91
2021_2022,Premium,Virginia,B L 2,8.80
2021_2022,Premium,Virginia,B K,6.37
2021_2022,Premium,Virginia,C O 1,13.61
2021_2022,Premium,Virginia,C O 2,11.97
2021_2022,Premium,Virginia,C O 3,9.27
2021_2022,Premium,Virginia,C R 1,9.32
2021_2022,Premium,Virginia,C R 2,6.52
2021_2022,Premium,Virginia,C R 3,4.09
2021_2022,Premium,Virginia,C L 1,10.10
2021_2022,Premium,Virginia,C L 2,8.16
2021_2022,Premium,Virginia,C K,5.07
2021_2022,Premium,Virginia,X O 1,11.96
2021_2022,Premium,Virginia,X O 2,10.06
2021_2022,Premium,Virginia,X O 3,7.90
2021_2022,Premium,Virginia,X R 1,8.67
2021_2022,Premium,Virginia,X R 2,5.30
2021_2022,Premium,Virginia,X R 3,3.06
2021_2022,Premium,Virginia,X L 1,8.95
2021_2022,Premium,Virginia,X L 2,7.26
2021_2022,Premium,Virginia,X K,3.73
2021_2022,Premium,Virginia,G 2,4.84
2021_2022,Premium,Virginia,G 3,1.26
2021_2022,Premium,Virginia,N,3.20
2021_2022,Premium,Virginia,S C,1.26
2021_2022,Premium,Virginia,S T,0.77
2021_2022,Premium,Burley,T 1,11.81
2021_2022,Premium,Burley,T 1 L,10.17
2021_2022,Premium,Burley,T 2,10.05
2021_2022,Premium,Burley,T 2 L,7.84
2021_2022,Premium,Burley,T 3,7.02
2021_2022,Premium,Burley,T 3 L,6.17
2021_2022,Premium,Burley,T K,4.53
2021_2022,Premium,Burley,B 1,12.29
2021_2022,Premium,Burley,B 1 L,10.56
2021_2022,Premium,Burley,B 2,10.16
2021_2022,Premium,Burley,B 2 L,8.81
2021_2022,Premium,Burley,B 3,7.94
2021_2022,Premium,Burley,B 3 L,6.59
2021_2022,Premium,Burley,B K,5.69
2021_2022,Premium,Burley,C 1,12.01
2021_2022,Premium,Burley,C 1 L,10.46
2021_2022,Premium,Burley,C 2,10.11
2021_2022,Premium,Burley,C 2 L,8.81
2021_2022,Premium,Burley,C 3,7.73
2021_2022,Premium,Burley,C 3 L,6.37
2021_2022,Premium,Burley,C K,5.69
2021_2022,Premium,Burley,X 1,11.08
2021_2022,Premium,Burley,X 1 L,10.12
2021_2022,Premium,Burley,X 2,8.99
2021_2022,Premium,Burley,X 2 L,8.41
2021_2022,Premium,Burley,X 3,7.02
2021_2022,Premium,Burley,X 3 L,6.37
2021_2022,Premium,Burley,X K,5.09
2021_2022,Premium,Burley,N,2.06
2021_2022,Premium,Burley,G,0.87
2021_2022,UTC,Virginia,T O 1,14.70
2021_2022,UTC,Virginia,T O 2,12.36
2021_2022,UTC,Virginia,T O 3,10.04
2021_2022,UTC,Virginia,T R 1,11.18
2021_2022,UTC,Virginia,T R 2,7.63
2021_2022,UTC,Virginia,T R 3,4.31
2021_2022,UTC,Virginia,T L 1,8.97
2021_2022,UTC,Virginia,T L 2,7.00
2021_2022,UTC,Virginia,T K,5.18
2021_2022,UTC,Virginia,B O 1,15.45
2021_2022,UTC,Virginia,B O 2,13.30
2021_2022,UTC,Virginia,B O 3,10.34
2021_2022,UTC,Virginia,B R 1,11.55
2021_2022,UTC,Virginia,B R 2,8.58
2021_2022,UTC,Virginia,B R 3,5.51
2021_2022,UTC,Virginia,B L 1,11.07
2021_2022,UTC,Virginia,B L 2,8.91
